"df_names","df_long","df_lat"
"Gas station","104.1297431","16.1438159"
"Gas station","104.1503764","15.7989782"
"Gas station","104.1114118","15.8335564"
"Gas station","103.580979","15.7675831"
"Gas station","104.2023205","15.8734702"
"Gas station","104.2197019","15.8243895"
"Gas station","103.9994003","15.9500648"
"Gas station","103.6194933","15.9448252"
"Gas station","103.6597284","15.7302202"
"Gas station","104.1646484","15.629513"
"Gas station","103.8721393","15.7991507"
"Gas station","103.6573047","16.1119699"
"Gas station","103.7582126","15.6555595"
"Gas station","103.7632919","15.9677025"
"Gas station","103.5614951","16.0305845"
"Gas station","103.9422702","16.1346944"
"Gas station","101.6467785","15.4631846"
"Gas station","101.5441436","15.4194897"
"Gas station","101.8048649","15.4312681"
"Gas station","102.0402108","15.4297742"
"Gas station","101.6844373","15.4203715"
"Gas station","102.0555758","15.3700912"
"Gas station","101.6826829","15.4689806"
"Gas station","101.6145552","15.4291686"
"Gas station","101.5678693","15.4714195"
"Gas station","101.5713081","15.5086219"
"Gas station","102.141023","15.6456865"
"Patthana Gas Shop","101.9680593","15.3064971"
"Gas station","101.9668838","15.310522"
"Gas station","101.6236434","15.4025915"
"Gas station","101.7645191","15.5962643"
"Gas station","101.9272971","15.34715"
"Gas station","102.2535155","15.5936972"
"Gas station","101.5510116","15.3300075"
"Gas station","102.0240752","15.7610413"
"Gas station","102.0394527","15.8641065"
"Gas station","101.2470842","15.2509652"
"Gas station","101.5302521","14.9219815"
"Gas station","101.6779841","14.9571508"
"Gas station","101.5020809","14.9386064"
"Gas station","101.1802736","15.064531"
"Gas station","101.4607658","14.9694484"
"Gas station","101.6018239","15.1373336"
"Gas station","101.8048649","15.4312681"
"Gas station","101.6171321","15.2231501"
"Gas station","101.5295075","15.2618657"
"Gas station","101.7224283","15.1661862"
"Gas station","101.6826829","15.4689806"
"Gas station","101.1970385","15.4218036"
"Gas station","101.2967342","15.6497164"
"Gas station","101.53467","15.2310113"
"Gas station","101.6145552","15.4291686"
"Gas station","101.5678693","15.4714195"
"Gas station","101.1852126","15.605474"
"Gas station","101.1846724","15.6744729"
"Gas station","101.4420037","15.5593141"
"Gas station","101.6018239","15.1373336"
"Gas station","101.8048649","15.4312681"
"Gas station","101.5295075","15.2618657"
"Gas station","101.6844373","15.4203715"
"Gas station","101.7224283","15.1661862"
"Gas station","101.6826829","15.4689806"
"Gas station","101.53467","15.2310113"
"Gas station","101.6145552","15.4291686"
"Gas station","101.5678693","15.4714195"
"Gas station","101.4420037","15.5593141"
"Gas station","101.5713081","15.5086219"
"Gas station","101.7427521","15.2311411"
"Gas station","101.4064368","15.6022464"
"Gas station","101.733724","15.16486"
"PTT gas station.","101.4346586","15.5112538"
"Patthana Gas Shop","101.9680593","15.3064971"
"Gas station","101.4126299","15.5451923"
"Gas station","101.6236434","15.4025915"
"Gas station","101.7514689","15.2698724"
"Gas station","101.4925429","15.8305472"
"NGV","101.0084567","13.3945658"
